C/N,OM,Temperature,MC,PH,TN,"NH₄⁺-Ng/kg",NO₃⁻-N mg/kg,"EC ms/cm","NH₃g/m²·d","CH₄  g/m²·d","CO₂  g/m²·d","N₂O g/m²·d"
18.37013394,64.3657,26.7858,51.1003 ,7.83162,2.03238,0.0141817,343.722,1.76636,0,0.0210526,4.9,0.000046729
26.53352794,74.3227,20.4464,65.7972,8.66201,1.62476,3.02128,166.143,2.68925,1.528662,0.0140351,0,0.000514019
27.11519207,70.966,42.5077,64.4056,8.27526,1.5181,1.53931,415.022,2.15888,22.9404,1.33333,36.29,0.000373832
32.20331435,71.9098,55.1964,62.1048,8.22489,1.29524,0.979432,417.04,2.04206,76.7688,0.933333,34.26,0.000654206
21.54061838,67.4108,47.2679,61.3261,8.17955,1.81524,0.260279,412.332,1.94159,10.458,1.66316,30.54,0.000607477
20.13795798,62.9549,39.25,60.2028,8.15762,1.81333,0.0446777,285.202,1.66355,0,1.74035,32.45,0.000841121
18.00447482,61.2516,28.1965,59.4965,8.57676,1.97333,0.027658,200.448,1.9486,0,0.0280702,20.38,9.34579E-05
18.88207455,62.1291,26.1607,58.1004,7.83162,1.90857,0.0141817,291.256,1.97897,0,0.00701754,3.6,0.000046729
28.78760433,76.1937,22.2321,66.0025,8.66201,1.53524,2.80851,197.758,1.90654,0,0.00701754,0,0.000841121
32.73431536,74.0628,45.5433,65.4328,8.27526,1.31238,1.19179,490.359,1.8271,32.17326,1.37544,63.32,0.000607477
30.53895982,73.6088,48.4107,63.3359,8.22489,1.3981,0.933332,434.529,1.78972,49.53774,1.54386,42.65,0.000841121
21.68324613,68.142,42.625,62.3748,8.17955,1.82286,0.292194,393.498,1.63318,25.22832,1.71228,25.85,0.000747664
17.84232776,65.6216,35.9465,61.0522,8.15762,2.13333,0.0340394,365.919,1.56308,0,2.02807,30.12,0.00158879
18.78400907,64.5205,27.9285,60.9295,8.57676,1.99238,0.0241119,409.641,1.70794,0,0.0491228,15.64,0.000046729
17.40729228,64.0216,25.7142,59.5193,7.83162,2.13333,0.010633,558.969,1.67991,0,0.0210526,4.8,0.000140187
26.98526203,74.9679,24.375,65.9985,8.49938,1.61143,2.42199,91.4798,2.48598,0,0.00701754,0,0.000700935
31.54010936,75.5037,52.0612,65.2411,8.09169,1.38857,1.31236,607.399,1.78037,16.01826,1.43158,59.86,0.00107477
42.21838776,73.2001,51.3572,64.3515,8.35548,1.00571,0.901417,402.915,1.69159,46.30674,0.989474,50.38,0.00130841
23.59943172,69.6689,39.7678,62.4698,7.83951,1.71238,0.189362,466.816,1.51168,7.68714,1.82456,37.85,0.000981308
19.47907228,66.4603,34.6964,60.2854,8.03934,1.97905,0.0411342,474.215,1.5,0,1.81754,40.57,0.00154206
19.56502405,65.9184,29.8928,59.4168,8.23055,1.95429,0.0276553,383.408,1.60981,0,0.0210526,20.74,9.34579E-05
19.63390456,65.441,29.5535,58.6248,7.93881,1.93333,0.0177198,579.148,1.59112,0,0.0140351,5.68,9.34579E-05
30.8333,66.1969,58.8246,61.4035,59.4717,16.753,5.4182,98.4663,2.7284,0.756757,0.44586,3.97693,0.000178344
31.7988,62.0849,62.5918,55.2193,67.2977,15.4382,9.29411,83.7423,3.26173,2.09857,3.47771,27.3749,0.00170701
33.5772,58.7838,65.42,49.0789,70.2436,12.1315,4.0797,103.988,3.41481,1.0461,2.59873,6.50928,0.00246624
18.435,51.0232,52.84,46.0965,56.0753,17.6693,2.08003,99.3865,3.91852,0.413355,0.547771,6.97868,0.000101911
17.2154,46.4479,39.6716,48.6404,42.3777,19.7809,2.25368,126.994,3.93333,0.1604134,0.764331,5.15443,0.000163057
18.0285,42.278,36.8564,47.8947,33.6213,20.7968,1.75183,104.908,3.42963,0,0.649682,3.10111,0.000208917
13.6077,40.9459,24.3354,45.6579,24.9824,23.0279,1.16187,161.043,3.32099,0,0.764331,2.19422,0.000244586
13.7093,38.5135,30.9906,42.5439,29.1671,23.2271,0.660026,124.233,3.25336,0,1.07006,4.42182,0.000214013
15.5894,37.6448,24.941,40.7456,25.9411,24.2629,0.363481,360.736,3.18765,0,0.789809,1.68161,0.000219108
30.122,66.4286,58.1775,61.4035,6.85981,16.7131,5.4182,91.1043,2.8716,0.658188,0.267516,2.60092,4.58599E-05
31.8496,63.9382,64.8271,55.2193,7.46729,15.6773,9.29411,71.7791,3.30617,1.79968,2.49682,20.3413,0.000351592
32.9675,58.8996,67.8906,49.0789,7.15888,12.9084,4.0797,112.27,3.38272,0.931638,2.14013,7.57955,0.00339363
19.8577,53.6873,51.6634,46.0965,7.19159,15.8964,2.08003,123.313,3.52099,0.572337,0.305732,18.5229,0.000122293
18.7907,52.9923,41.4364,48.6404,8.6028,18.6853,2.25368,103.067,3.89383,0.117647,0.407643,4.77217,0.000203822
17.2154,47.3166,36.3271,47.8947,8.61215,21.7928,1.75183,116.871,3.62716,0,0.471338,2.41311,0.000295541
14.3191,45.1158,23.5118,45.6579,7.99533,23.0677,1.16187,91.1043,2.99506,0,0.535032,1.8121,0.000127389
15.4878,40.1931,30.2848,42.5439,8.15888,22.3506,0.660026,136.196,2.84691,0,0.44586,1.89916,0.000208917
14.3191,34.8069,24.8234,40.7456,8.13084,23.4462,0.363481,487.73,2.8321,0,0.738854,2.0638,0.000326115
30.122,67.2973,58.1775,59.3421,6.46262,16.1554,5.41814,93.865,2.67407,0.438792,0.254777,3.13595,3.56688E-05
31.8496,63.1274,64.8271,53.5088,7.65888,15.8367,9.35283,90.184,2.78272,1.06836,2.42038,16.8242,0.00164076
32.9675,53.6873,67.8906,50.7018,7.76168,13.247,4.65237,149.08,3.29877,0.864865,0.713376,10.4082,0.00207898
19.8577,50.2124,51.6634,44.6491,7.20561,16.1355,1.69824,112.27,3.61235,0.120827,0.33121,12.5598,0.000382166
18.7907,46.8533,41.4364,45.5263,8.36449,18.008,2.22431,106.748,3.80988,0.0572337,0.458599,3.3195,0.000132484
17.2154,40.4247,36.3271,47.8509,8.05607,19.1833,1.10576,93.865,3.40988,0,0.509554,2.03084,0.00023949
14.3191,39.9035,23.5118,45.4825,7.51402,22.0518,0.750773,125.153,3.02716,0,0.624204,3.26449,0.000229299
15.4878,38.5714,30.2848,41.5789,7.71028,22.5498,0.54261,173.006,2.91358,0,0.866242,5.10996,0.000198726
14.3191,34.2857,24.8234,38.9912,8.3785,22.3108,0.29002,507.055,2.80741,0,0.764331,1.98769,0.000249682
30.5793,67.529,45.0599,59.3421,6.53738,16.1554,5.13914,88.3436,2.75062,0.263911,0.254777,8.56429,7.13376E-05
29.6138,60.1737,60.2388,53.5088,7.52336,15.8367,8.91228,114.11,2.86173,1.74563,2.42038,29.1331,0.00136051
30.935,59.8263,67.3612,50.7018,7.30841,13.247,3.9475,134.356,3.49383,0.550079,0.713376,14.6128,0.000428025
22.3984,51.9498,54.2517,44.6491,7.80374,16.1355,1.00811,147.239,3.79753,0.476948,0.33121,23.4925,8.66242E-05
20.4167,45.4633,44.3188,45.5263,8.28037,18.008,1.78378,124.233,3.7358,0.1699523,0.458599,7.83069,0.000147771
19.0447,44.5367,34.5624,47.8509,8.25234,19.1833,1.13509,110.429,3.61728,0,0.509554,2.26027,0.000188535
14.7256,43.0309,24.5117,45.4825,7.53738,22.0518,0.736029,164.724,3.29383,0,0.624204,1.27672,0.000193631
11.9817,40.4247,28.873,41.5789,7.75234,22.5498,0.601328,170.245,3.06667,0,0.866242,3.88665,0.000173248
14.2683,33.8803,26.0587,38.9912,7.76636,22.3108,0.275395,555.828,2.5358,0,0.764331,0.91722,0.000198726
30.935,66.834,50.7658,59.8246,6.49533,15.7171,5.16852,95.7055,2.53086,0.333863,0.828025,6.34716,0.000336306
29.5122,61.9691,54.7096,53.2018,7.71495,14.741,7.79627,82.8221,2.67407,1.16057,1.70701,24.2402,0.000234395
30.7825,59.6525,70.0082,50.5702,7.48598,13.6653,3.02239,121.472,2.82963,0.505564,0.840764,12.7783,0.000417834
23.2114,54.7297,55.134,46.3158,7.63084,17.6096,1.47799,154.601,3.71852,0.254372,0.407643,25.7861,0.000056051
17.9776,50.6757,48.0247,48.2456,8.24766,19.1434,1.38726,163.804,3.61728,0.1413355,1.17197,8.36593,0.000183439
15.2846,46.6795,35.0918,46.4474,8.28972,20.8167,1.10572,150.92,3.58272,0,0.700637,4.7064,0.000229299
12.0325,43.8996,25.5706,43.9474,7.88318,23.247,0.60389,162.883,3.13596,0,0.598726,1.96479,0.000178344
13.6585,37.3552,30.0495,39.2105,7.82243,23.3068,0.454485,163.804,2.52593,0,0.700637,2.73986,0.000183439
11.9309,31.9691,25.5293,37.5439,7.92056,23.745,0.187269,610.123,2.54321,0,0.789809,0.993743,0.000234395
30.7825,67.8764,59.4717,59.7368,6.52336,15.5578,5.21256,93.865,2.53086,0.333863,0.382166,5.88845,8.66242E-05
30.2744,63.2432,67.2977,53.6404,7.88318,14.5618,7.67877,97.546,2.67407,1.16057,1.51592,28.0629,0.000280255
30.122,60.4633,70.2436,49.693,7.50935,14.2629,2.43501,127.914,2.82963,0.505564,0.649682,13.4664,0.000657325
21.4837,55.7722,56.0753,42.4123,7.92523,16.4741,0.919987,152.761,3.71852,0.254372,0.33121,12.8655,0.000117197
19.7561,52.7606,42.3777,45.9211,8.29907,17.3705,1.22576,137.117,3.61728,0.1413355,0.522293,6.53086,0.000254777
15.7419,49.5174,33.6213,45.2193,8.12617,21.3147,0.87077,134.356,3.58272,0,0.547771,4.17123,0.000341401
13.7602,44.0154,24.9824,40.4825,7.73832,22.0518,0.530468,165.644,3.00254,0,0.573248,2.57648,0.000208917
12.9472,39.7297,29.1671,38.0263,7.74299,23.1474,0.292937,170.245,2.52593,0,0.815287,2.12838,0.000219108
12.5407,31.8533,25.9411,36.5789,8.07477,23.4661,0.0991635,648.773,2.54321,0,0.751592,1.37594,0.000259873
7.75282173,66.006788,25,58.1295,6.53205,4.93846,4.36364,0,5.44348,0.538462,8.53435,177.51,3.292
7.592083348,63.7321424,60,56.64984,5.62821,4.86923,8.15584,4747.66,11.0087,0.111888,9.38931,12.8514,4.876
7.224973495,62.8541092,60,55.69863,5.10897,5.04615,4.85714,7588.79,10.9739,0.727273,9.70992,4.81928,3.368
7.306582286,64.2908908,60,54.282384,4.91667,5.10385,3.27273,1532.71,10.2435,2.96503,9.05344,3.61446,3.264
8.412920529,67.1641092,25,53.140932,5.05769,4.63077,3.7013,3514.02,10.2957,0.475524,8.83969,2.40964,2.428
7.997267397,58.2248244,25,57.70674,6.96154,4.22308,4.31169,0,5.89565,0.335664,8.44275,214.0562,3.088
7.450791858,59.5817848,60,57.199428,5.58974,4.63846,7.25974,3700.93,11.3043,0.104895,9.41985,13.6546,3.772
7.502816298,58.9033908,60,55.973424,5.37179,4.55385,4.12987,3177.57,10.887,0.832168,10.458,5.22088,3.36
8.348087771,59.0630332,60,54.144987,5.30128,4.10385,2.09091,2523.36,9.61739,4.68531,10.4733,4.01606,3.252
8.134570552,61.0583908,25,53.648244,5.34615,4.35385,2.58442,3588.79,11.2522,0.468531,8.83969,2.81124,2.48
7.654516912,61.6169668,25,57.738447,6.52564,4.66923,4.27273,0,6.27826,0.426573,8.24427,187.9518,3.172
7.354907216,61.4973212,60,56.565288,5.42949,4.85,8.72727,5495.33,11.0783,0.132867,9.34351,11.245,3.616
7.710544334,57.4666092,60,55.677492,4.88462,4.32308,5.37662,7757.01,12.087,0.825175,9.9542,5.62249,3.368
7.583641537,61.2978544,60,54.694575,4.83974,4.68846,3.55844,2037.38,11.3391,4.28671,9.35878,2.81124,3.24
8.140294285,63.6921456,25,53.859624,4.92949,4.53846,3.36364,2785.05,9.18261,0.384615,9.1145,2.40964,2.652
8.47832183,59.4221424,25,58.076655,5.73718,4.06538,3.97403,0,7.6,0.566434,8.73282,163.0522,3.072
7.360331886,59.9808908,60,56.279925,4.47436,4.72692,7.84416,1682.24,10.4522,0.0769231,10.5802,16.0643,3.532
7.316826087,58.0253576,60,55.740906,4.34615,4.6,6.5974,1457.94,11.9304,0.503497,12.5496,9.23695,3.388
6.529980952,59.1028576,60,54.567747,4.36538,5.25,6.41558,1233.64,11.7043,2.32168,12.0611,8.43373,3.236
7.214719674,61.3776756,25,53.732796,4.41026,4.93462,7.49351,1439.25,10.4522,0.27972,9.20611,3.21285,2.524
7.554816609,57.1075,25,57.738447,6.59615,4.38462,4.1039,0,6.8,0.902098,8.32061,220.8835,3.04
8.13225368,60.34,60,56.734392,5.39103,4.30385,7.84416,2785.05,12.5565,0.118881,9.78626,13.6546,3.588
8.086196306,59.4619668,60,55.751475,5.07692,4.26538,6.14286,4728.97,13.4261,0.734266,9.81679,4.41767,3.32
7.492956522,59.4221424,60,54.768558,5.09615,4.6,4.05195,3177.57,11.9826,4.51049,10.7328,3.61446,3.232
7.705330548,60.34,25,53.658813,5.04487,4.54231,3.55844,3570.09,11.2696,0.370629,10.0763,2.40964,2.48
7.453926248,52.6378576,25,57.484791,6.29487,4.09615,3.97403,356.87,8.10435,0.321678,9.16031,209.2369,3.28
7.734956147,56.4689304,60,55.730337,5.19872,4.23462,7.25974,0,11.913,0.118881,11.3435,18.0723,3.488
7.53160097,53.4360696,60,54.810834,4.39744,4.11538,5.11688,542.056,12.4696,0.573427,14.4733,10.0402,3.412
7.889686004,55.1919636,60,53.288898,5.04487,4.05769,4.25974,224.299,11.8261,2.87413,12.9618,4.81928,3.196
7.971852482,56.1896424,25,52.337688,4.95513,4.08846,4.36364,710.28,10.4174,0.272727,10.0763,2.81124,2.452
8.201876543,57.2671424,25,56.269356,5.91026,4.05,3.72727,0,7.23478,0.811189,8.83969,166.2651,3.34
7.541843394,52.3585696,60,55.772613,4.55769,4.02692,7.25974,1289.72,10.8348,0.118881,11.0534,12.8514,3.504
7.405440541,57.7460696,60,55.180749,5.04487,4.52308,7.18182,1626.17,11.7565,0.573427,11.6489,7.63052,3.368
7.267073361,56.9080332,60,53.648244,4.42308,4.54231,6.48052,1401.87,11.0087,2.87413,13.1298,8.03213,3.204
7.258056757,59.8212484,25,52.189722,4.48077,4.78077,6.19481,2299.07,10.0522,0.272727,9.61832,2.81124,2.336
7.670749671,53.2364304,25,58.1295,5.97436,4.02563,3.32468,356.28,7.6,0.636364,9.35878,246.988,3.328
8.216727962,58.6239304,60,57.463653,4.95513,4.13846,6.67532,0,10.2087,0.0979021,11.3893,20.4819,3.5
7.51333859,53.5557152,60,57.009186,4.83333,4.13462,5.45455,878.505,11.3565,0.496503,13.8321,9.23695,3.356
7.75441071,56.8680364,60,54.557178,4.75,4.25385,5.02597,504.673,11.6,2.58741,16.3206,8.83534,3.244
6.563532592,55.750712,25,52.158015,4.76282,4.92692,4.90909,859.813,10.2957,0.293706,9.78626,2.81124,2.312
6.689777115,52.8988712,40.9524,54.026,7.24194,4.58667,10.9091,1350.65,3.27723,4.78873,4.28571,15.7895,2.41379
5.682845745,36.83757,49.9048,52.013,7.91129,3.76,15.2841,1019.48,1.63366,26.6901,638.571,270,13.9655
14.53354626,38.7531064,56,46.039,8.05645,1.54667,17.7841,1409.09,2.9505,11.2676,4.28571,199.4737,7.75862
14.8718,51.2779664,50.9524,42.013,8.3629,2,14.0341,1629.87,3.0099,5.91549,2.85714,59.4737,6.55172
13.96202533,23.4286428,33.0476,38.0519,8.54032,0.973333,10.5114,1961.04,3.09901,5.07042,1.42857,7.36842,4.65517
8.847596152,53.4881344,42,55,7.24194,3.50667,10.9091,1350.65,3.27723,4.85915,4.28571,17.8947,2.41379
17.25425,47.5941232,55.0476,52.987,7.87903,1.6,20.3409,922.078,1.85149,30.5634,377.143,127.8947,17.7586
15.29300841,49.215028,56,47.013,8.16935,1.86667,14.9432,1506.49,2.70297,10.7746,7.14286,112.6316,21.2069
11.98440487,50.6885308,50,41.039,8.29032,2.45333,14.0909,1636.36,2.91089,5.6338,2.85714,30,5.51724
15.85080488,40.0793796,33.0476,40.0649,8.44355,1.46667,13.2386,1831.17,3.13861,3.73239,1.42857,8.94737,3.44828
8.012821135,42.7315812,44.0952,54.0909,7.24194,3.09333,10.9091,1350.65,3.27723,3.52113,4.28571,13.1579,2.41379
5.902336066,49.6570616,55.0476,51.9481,7.56452,4.88,26.3068,1194.81,3.20792,12.7465,378.571,133.6842,8.10345
14.97187505,50.2464972,58,40.1299,7.92742,1.94667,22.3295,1396.1,3.48515,8.73239,4.28571,65.2632,9.13793
11.47486782,69.107402,53.0476,37.013,8.14516,3.49333,21.3068,1584.42,3.54455,5.84507,2.85714,19.4737,4.65517
13.25956634,44.499888,34,35.0649,8.14516,1.94667,17.5,1616.88,3.85149,3.38028,1.42857,6.31579,4.31034
6.16987018,45.3839552,45.9048,52.9221,7.24194,4.26667,10.9091,1350.65,3.27723,0.352113,4.28571,14.7368,2.41379
5.90813583,52.0146316,54.9524,50.974,6.41129,5.10667,28.5227,538.961,2.67327,0.915493,318.571,110,11.0345
11.20991358,51.2779664,58,39.026,6.72581,2.65333,24.4886,714.286,3.39604,6.40845,4.28571,44.2105,10.5172
6.410263975,71.1703404,53.0476,37.013,7.21774,6.44,21.9886,785.714,3.62376,3.02817,2.85714,16.8421,4.31034
11.94955428,50.5411288,35.0476,35.0649,7.3629,2.45333,23.125,844.156,3.94059,3.87324,1.42857,6.31579,3.62069
